% Probable Deaths by Ethnicity: Hispanic/Latino,% Probable Deaths by Ethnicity: Non-Hispanic/Latino,% Probable Deaths by Ethnicity: Unknown,% Probable Deaths by Gender: Female,% Probable Deaths by Gender: Male,% Probable Deaths by Gender: Unknown/Other,% Probable Deaths by Race: American Indian/Alaska N..,% Probable Deaths by Race: Asian,% Probable Deaths by Race: Black,% Probable Deaths by Race: Native Hawaiian/Pl,% Probable Deaths by Race: Other,% Probable Deaths by Race: Unknown,% Probable Deaths by Race: White,% Probable Deaths by Underlying Condition: Asthma,% Probable Deaths by Underlying Condition: Cancer,% Probable Deaths by Underlying Condition: Cardiac Disease,% Probable Deaths by Underlying Condition: Chronic Kidney Disease,% Probable Deaths by Underlying Condition: Congestive Heart Failure,% Probable Deaths by Underlying Condition: Diabetes,% Probable Deaths by Underlying Condition: Hypertension,% Probable Deaths by Underlying Condition: Neurological,% Probable Deaths by Underlying Condition: Obesity,% Probable Deaths by Underlying Condition: Pulmonary,Beds_InUseRegion1,Beds_InUseRegion2,Beds_InUseRegion3,Beds_InUseRegion4,Beds_InUseRegion5,Beds_InUseRegion6,Beds_InUseRegion7,Beds_InUseRegion8,Beds_InUseRegion9,Beds_StillAvailableRegion1,Beds_StillAvailableRegion2,Beds_StillAvailableRegion3,Beds_StillAvailableRegion4,Beds_StillAvailableRegion5,Beds_StillAvailableRegion6,Beds_StillAvailableRegion7,Beds_StillAvailableRegion8,Beds_StillAvailableRegion9,Case_Pct_Female,Case_Pct_Male,Case_Pct_Other,Cases_0_17,Cases_18_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_plus,CommercialTests,Deaths_0_17,Deaths_18_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_Region 1_race_American Indian/Alaskan Native,Deaths_Region 1_race_Asian,Deaths_Region 1_race_Black,Deaths_Region 1_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 1_race_Other,Deaths_Region 1_race_Unknown,Deaths_Region 1_race_White,Deaths_Region 2_race_American Indian/Alaskan Native,Deaths_Region 2_race_Asian,Deaths_Region 2_race_Black,Deaths_Region 2_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 2_race_Other,Deaths_Region 2_race_Unknown,Deaths_Region 2_race_White,Deaths_Region 3_race_American Indian/Alaskan Native,Deaths_Region 3_race_Asian,Deaths_Region 3_race_Black,Deaths_Region 3_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 3_race_Other,Deaths_Region 3_race_Unknown,Deaths_Region 3_race_White,Deaths_Region 4_race_American Indian/Alaskan Native,Deaths_Region 4_race_Asian,Deaths_Region 4_race_Black,Deaths_Region 4_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 4_race_Other,Deaths_Region 4_race_Unknown,Deaths_Region 4_race_White,Deaths_Region 5_race_American Indian/Alaskan Native,Deaths_Region 5_race_Asian,Deaths_Region 5_race_Black,Deaths_Region 5_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 5_race_Other,Deaths_Region 5_race_Unknown,Deaths_Region 5_race_White,Deaths_Region 6_race_American Indian/Alaskan Native,Deaths_Region 6_race_Asian,Deaths_Region 6_race_Black,Deaths_Region 6_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 6_race_Other,Deaths_Region 6_race_Unknown,Deaths_Region 6_race_White,Deaths_Region 7_race_American Indian/Alaskan Native,Deaths_Region 7_race_Asian,Deaths_Region 7_race_Black,Deaths_Region 7_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 7_race_Other,Deaths_Region 7_race_Unknown,Deaths_Region 7_race_White,Deaths_Region 8_race_American Indian/Alaskan Native,Deaths_Region 8_race_Asian,Deaths_Region 8_race_Black,Deaths_Region 8_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 8_race_Other,Deaths_Region 8_race_Unknown,Deaths_Region 8_race_White,Deaths_Region 9_race_American Indian/Alaskan Native,Deaths_Region 9_race_Asian,Deaths_Region 9_race_Black,Deaths_Region 9_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 9_race_Other,Deaths_Region 9_race_Unknown,Deaths_Region 9_race_White,Hospitalized,ICUBeds_InUseRegion1,ICUBeds_InUseRegion2,ICUBeds_InUseRegion3,ICUBeds_InUseRegion4,ICUBeds_InUseRegion5,ICUBeds_InUseRegion6,ICUBeds_InUseRegion7,ICUBeds_InUseRegion8,ICUBeds_InUseRegion9,ICUBeds_StillAvailableRegion1,ICUBeds_StillAvailableRegion2,ICUBeds_StillAvailableRegion3,ICUBeds_StillAvailableRegion4,ICUBeds_StillAvailableRegion5,ICUBeds_StillAvailableRegion6,ICUBeds_StillAvailableRegion7,ICUBeds_StillAvailableRegion8,ICUBeds_StillAvailableRegion9,OnVentilator,Probable Deaths Age: Average,Probable Deaths Age: Median,Scrape_Time,TestsByStateLab,Total Probable Deaths,Vent_InUseRegion1,Vent_InUseRegion2,Vent_InUseRegion3,Vent_InUseRegion4,Vent_InUseRegion5,Vent_InUseRegion6,Vent_InUseRegion7,Vent_InUseRegion8,Vent_InUseRegion9,Vent_StillAvailableRegion1,Vent_StillAvailableRegion2,Vent_StillAvailableRegion3,Vent_StillAvailableRegion4,Vent_StillAvailableRegion5,Vent_StillAvailableRegion6,Vent_StillAvailableRegion7,Vent_StillAvailableRegion8,Vent_StillAvailableRegion9
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,2002,1299,442,1212,469,799,1561,730,884,1004,813,302,497,289,483,771,643,616,56,42,2,5370,17508,13138,12212,11872,9392,10166,909670,3,11,59,118,293,588,2243,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1308,344,185,52,150,67,79,306,118,100,222,86,39,31,22,41,100,64,75,142,74,76,2020-07-13 20:41:33.427338,43756,108,138,60,19,68,42,41,80,57,40,503,199,102,117,53,89,227,90,165
2.00,90.00,8.00,48.00,52.00,0.00,0.13,0.72,52.42,0.08,0.50,0.03,46.05,4.28,7.62,21.22,20.41,14.32,37.82,62.09,14.52,19.86,12.54,2060,1367,478,1250,494,825,1707,724,889,953,761,275,461,190,459,629,650,614,56,42,2,5606,18086,13525,12527,12188,9603,10338,932527,4,11,59,121,296,592,2256,1,14,662,3,11,0,371,0,7,276,1,0,0,196,3,1,168,0,0,0,194,0,0,63,0,0,0,166,0,0,34,0,3,0,51,0,0,56,0,1,0,48,0,0,240,1,0,0,129,0,0,97,0,1,1,81,0,1,75,0,0,0,232,1362,358,185,52,148,76,83,333,116,91,216,88,39,32,10,39,83,66,85,146,74,76,2020-07-14 20:09:01.631858,43928,108,136,59,19,67,35,34,87,54,37,499,200,102,118,60,96,225,93,168
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2146,1418,497,1232,488,814,1699,722,933,929,732,259,480,175,449,619,656,570,56,42,2,5817,18584,13874,12821,12488,9837,10541,957272,4,11,61,121,297,594,2264,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1369,356,191,48,147,69,80,335,110,110,224,92,45,34,15,42,86,71,67,149,74,76,2020-07-15 21:40:53.561509,43928,110,137,64,20,68,36,32,81,56,45,498,195,101,124,59,98,231,91,161
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2167,1427,466,1230,480,810,1689,733,954,926,530,283,492,190,443,626,644,545,56,42,2,6095,19132,14277,13134,12803,10055,10746,978710,4,11,61,122,299,597,2281,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1401,368,224,50,149,66,74,322,115,114,215,40,42,34,16,38,100,66,62,162,74,76,2020-07-16 20:15:32.989815,45427,110,128,68,17,76,42,31,93,53,40,507,191,104,116,54,99,216,95,166
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2126,1332,449,1208,481,793,1721,726,953,956,551,302,495,176,445,600,651,550,56,43,1,6344,19672,14615,13442,13120,10291,10937,997818,4,11,61,125,302,600,2296,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1413,365,189,54,151,67,69,325,119,110,214,36,38,32,17,43,99,63,68,161,74,76,2020-07-17 20:11:39.516650,46122,110,139,68,15,82,43,28,77,50,43,496,191,106,110,53,102,238,98,163
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2126,1332,449,1208,481,793,1721,726,953,956,551,302,495,176,445,600,651,550,56,43,1,6344,19672,14615,13442,13120,10291,10937,997818,4,11,61,125,302,600,2296,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1413,365,189,54,151,67,69,325,119,110,214,36,38,32,17,43,99,63,68,161,74,76,2020-07-18 20:21:43.063785,46122,110,139,68,15,82,43,28,77,50,43,496,191,106,110,53,102,238,98,163
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2041,1302,443,1164,455,783,1614,688,866,1005,613,288,535,207,453,682,686,644,56,43,1,6705,20340,15161,13916,13575,10610,11229,1021389,4,12,62,126,304,607,2318,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1469,372,186,47,144,68,55,316,116,106,201,38,41,36,15,57,94,66,74,177,74,76,2020-07-19 20:09:12.390130,47915,110,103,71,15,74,43,26,72,47,35,532,188,106,120,52,104,244,101,171
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2042,1345,467,1210,482,780,1614,719,866,1029,551,264,493,192,454,689,658,643,56,43,1,7501,20995,15593,14326,13971,10891,11445,1054916,4,12,63,125,306,611,2341,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1508,356,193,49,146,72,62,319,112,105,220,42,39,36,11,48,97,70,75,192,74,76,2020-07-20 20:12:19.147532,48008,110,130,70,15,80,46,26,80,48,41,505,189,106,113,49,104,230,100,165
2.10,90.00,7.90,48.00,52.00,0.00,0.12,0.69,51.49,0.08,0.51,0.12,46.92,4.09,7.29,20.64,20.37,13.92,36.38,59.71,15.26,18.88,12.22,2129,1369,498,1255,491,816,1645,728,943,936,545,237,432,197,420,672,648,562,56,43,1,7644,21371,15865,14576,14205,11078,11672,1074644,4,13,63,126,310,617,2365,1,14,671,3,11,0,380,0,7,281,1,0,0,204,3,1,173,0,0,0,201,0,0,70,0,0,1,184,0,0,39,0,4,0,68,0,0,62,0,1,0,62,0,0,249,1,0,0,133,0,0,103,0,1,0,92,0,1,76,0,0,0,247,1527,381,189,56,146,71,77,328,119,110,191,37,36,35,12,35,99,63,72,186,74,76,2020-07-21 21:56:46.320434,48318,110,136,77,15,85,47,21,84,48,52,499,182,106,109,48,109,222,100,154
2.00,90.00,8.00,47.00,53.00,0.00,0.11,0.65,50.72,0.08,0.51,0.73,47.14,4.15,7.58,21.68,21.33,14.89,37.68,62.08,16.85,19.84,12.90,2112,1391,503,1247,504,821,1663,731,917,937,371,233,441,194,415,642,646,581,56,43,1,7952,21957,16338,15000,14587,11418,11929,1104290,4,13,64,127,315,631,2404,1,14,676,3,11,3,387,0,7,298,1,0,1,211,3,1,173,0,0,0,209,0,0,85,0,1,3,203,0,0,46,0,4,2,85,0,0,73,0,1,0,78,0,0,260,1,0,6,150,0,0,111,0,1,0,98,0,1,81,0,0,1,258,1581,375,178,58,154,76,86,313,118,102,196,44,34,28,14,26,105,63,79,188,74,76,2020-07-22 21:50:36.930101,48611,112,132,79,18,93,50,22,85,40,36,503,180,103,101,45,108,220,108,177
