,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,464.94,60.34,,2435.0,316.0,
1,5-12,648.64,22.47,,4849.0,168.0,
2,13-17,1316.17,59.61,,5697.0,258.0,
3,0-17,,,0.88,,,15.0
4,18-24,2692.46,186.33,4.97,18973.0,1313.0,35.0
5,25-34,3160.21,266.97,12.81,46888.0,3961.0,190.0
6,35-44,3756.77,444.1,46.09,42711.0,5049.0,524.0
7,45-54,4405.46,737.58,127.03,45292.0,7583.0,1306.0
8,55-64,4659.9,1207.9,305.43,46549.0,12066.0,3051.0
9,65-74,4220.67,1805.52,667.92,30338.0,12978.0,4801.0
10,75+,4910.7,2914.66,1698.87,27579.0,16369.0,9541.0
11,Citywide,3260.43,720.45,233.47,271816.0,60063.0,19464.0
