,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,455.59,59.96,,2386.0,314.0,
1,5-12,629.38,22.34,,4705.0,167.0,
2,13-17,1294.0,58.91,,5601.0,255.0,
3,0-17,,,0.88,,,15.0
4,18-24,2647.05,185.76,4.97,18653.0,1309.0,35.0
5,25-34,3120.44,266.23,12.81,46298.0,3950.0,190.0
6,35-44,3721.68,442.34,46.09,42312.0,5029.0,524.0
7,45-54,4372.78,736.22,126.74,44956.0,7569.0,1303.0
8,55-64,4629.37,1205.69,305.43,46244.0,12044.0,3051.0
9,65-74,4196.33,1801.9,668.2,30163.0,12952.0,4803.0
10,75+,4890.76,2906.47,1697.62,27467.0,16323.0,9534.0
11,Citywide,3230.14,718.67,233.37,269291.0,59914.0,19456.0
