,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,568.82,63.58,,2979.0,333.0,
1,5-12,790.17,23.94,,5907.0,179.0,
2,13-17,1524.79,61.68,,6600.0,267.0,
3,0-17,,,0.88,,,15.0
4,18-24,3020.7,193.57,4.97,21286.0,1364.0,35.0
5,25-34,3466.2,275.19,13.01,51428.0,4083.0,193.0
6,35-44,4061.9,456.41,46.0,46180.0,5189.0,523.0
7,45-54,4685.98,758.98,127.23,48176.0,7803.0,1308.0
8,55-64,4908.47,1237.33,307.53,49032.0,12360.0,3072.0
9,65-74,4416.98,1845.59,670.71,31749.0,13266.0,4821.0
10,75+,5082.89,2984.99,1713.29,28546.0,16764.0,9622.0
11,Citywide,3507.27,739.01,234.98,292395.0,61610.0,19590.0
