,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,706.11,67.02,,3698.0,351.0,
1,5-12,1012.23,25.95,,7567.0,194.0,
2,13-17,1828.6,65.38,,7915.0,283.0,
3,0-17,,,0.94,,,16.0
4,18-24,3424.29,199.95,4.97,24130.0,1409.0,35.0
5,25-34,3853.14,286.04,12.87,57169.0,4244.0,191.0
6,35-44,4459.56,471.02,45.91,50701.0,5355.0,522.0
7,45-54,5068.15,784.17,127.52,52105.0,8062.0,1311.0
8,55-64,5260.44,1276.67,308.93,52548.0,12753.0,3086.0
9,65-74,4706.07,1905.13,676.13,33827.0,13694.0,4860.0
10,75+,5320.42,3080.43,1729.31,29880.0,17300.0,9712.0
11,Citywide,3839.2,763.44,236.7,320067.0,63647.0,19733.0
