,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,459.6,60.34,,2407.0,316.0,
1,5-12,637.27,22.34,,4764.0,167.0,
2,13-17,1303.24,59.37,,5641.0,257.0,
3,0-17,,,0.88,,,15.0
4,18-24,2665.07,186.04,4.97,18780.0,1311.0,35.0
5,25-34,3134.94,266.83,12.81,46513.0,3959.0,190.0
6,35-44,3734.43,443.04,46.09,42457.0,5037.0,524.0
7,45-54,4384.75,736.9,126.84,45079.0,7576.0,1304.0
8,55-64,4641.08,1206.89,305.53,46361.0,12056.0,3052.0
9,65-74,4206.9,1803.43,667.92,30239.0,12963.0,4801.0
10,75+,4899.84,2909.85,1698.33,27518.0,16342.0,9538.0
11,Citywide,3241.81,719.53,233.42,270264.0,59986.0,19460.0
