,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,558.7,63.39,,2926.0,332.0,
1,5-12,775.99,23.94,,5801.0,179.0,
2,13-17,1501.46,61.45,,6499.0,266.0,
3,0-17,,,0.88,,,15.0
4,18-24,2989.91,193.0,4.97,21069.0,1360.0,35.0
5,25-34,3434.93,274.31,12.94,50964.0,4070.0,192.0
6,35-44,4031.73,454.92,46.09,45837.0,5172.0,524.0
7,45-54,4655.05,756.94,127.42,47858.0,7782.0,1310.0
8,55-64,4886.24,1235.03,307.53,48810.0,12337.0,3072.0
9,65-74,4394.99,1841.0,670.01,31591.0,13233.0,4816.0
10,75+,5061.88,2975.91,1712.22,28428.0,16713.0,9616.0
11,Citywide,3482.08,737.04,234.87,290295.0,61446.0,19581.0
