,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,639.28,65.49,,3348.0,343.0,
1,5-12,898.93,24.61,,6720.0,184.0,
2,13-17,1690.21,62.15,,7316.0,269.0,
3,0-17,,,0.88,,,15.0
4,18-24,3240.09,196.69,4.97,22832.0,1386.0,35.0
5,25-34,3672.44,279.77,12.94,54488.0,4151.0,192.0
6,35-44,4280.92,462.4,46.18,48670.0,5257.0,525.0
7,45-54,4895.01,771.63,127.32,50325.0,7933.0,1309.0
8,55-64,5097.67,1254.65,308.83,50922.0,12533.0,3085.0
9,65-74,4571.4,1874.25,674.32,32859.0,13472.0,4847.0
10,75+,5210.91,3028.26,1719.34,29265.0,17007.0,9656.0
11,Citywide,3685.68,750.14,235.87,307268.0,62538.0,19664.0
