,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,652.45,65.68,,3417.0,344.0,
1,5-12,918.19,24.75,,6864.0,185.0,
2,13-17,1714.47,62.38,,7421.0,270.0,
3,0-17,,,0.94,,,16.0
4,18-24,3273.3,196.97,4.97,23066.0,1388.0,35.0
5,25-34,3705.06,280.85,12.94,54972.0,4167.0,192.0
6,35-44,4312.41,463.27,46.18,49028.0,5267.0,525.0
7,45-54,4925.94,772.5,127.32,50643.0,7942.0,1309.0
8,55-64,5126.2,1256.65,308.93,51207.0,12553.0,3086.0
9,65-74,4596.03,1876.75,674.6,33036.0,13490.0,4849.0
10,75+,5232.46,3034.49,1720.23,29386.0,17042.0,9661.0
11,Citywide,3713.24,751.5,235.98,309566.0,62651.0,19673.0
