,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,523.18,62.25,,2740.0,326.0,
1,5-12,728.77,23.41,,5448.0,175.0,
2,13-17,1429.84,61.22,,6189.0,265.0,
3,0-17,,,1.0,,,17.0
4,18-24,2885.74,191.58,4.97,20335.0,1350.0,35.0
5,25-34,3329.38,271.62,12.94,49398.0,4030.0,192.0
6,35-44,3924.51,450.7,46.09,44618.0,5124.0,524.0
7,45-54,4560.22,751.98,127.13,46883.0,7731.0,1307.0
8,55-64,4799.05,1226.32,306.83,47939.0,12250.0,3065.0
9,65-74,4330.02,1827.5,670.29,31124.0,13136.0,4818.0
10,75+,4998.66,2951.34,1709.02,28073.0,16575.0,9598.0
11,Citywide,3397.7,731.26,234.59,283260.0,60964.0,19557.0
