,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,586.96,64.16,,3074.0,336.0,
1,5-12,824.95,24.35,,6167.0,182.0,
2,13-17,1576.31,61.68,,6823.0,267.0,
3,0-17,,,0.88,,,15.0
4,18-24,3087.68,194.56,4.97,21758.0,1371.0,35.0
5,25-34,3529.22,276.34,13.01,52363.0,4100.0,193.0
6,35-44,4129.1,457.56,46.0,46944.0,5202.0,523.0
7,45-54,4754.07,761.22,127.23,48876.0,7826.0,1308.0
8,55-64,4967.63,1241.13,307.93,49623.0,12398.0,3076.0
9,65-74,4467.62,1852.41,671.4,32113.0,13315.0,4826.0
10,75+,5118.68,2991.93,1714.0,28747.0,16803.0,9626.0
11,Citywide,3562.47,741.31,235.14,296997.0,61802.0,19603.0
