,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,691.78,66.83,,3623.0,350.0,
1,5-12,987.21,25.82,,7380.0,193.0,
2,13-17,1801.8,64.92,,7799.0,281.0,
3,0-17,,,0.94,,,16.0
4,18-24,3388.39,198.96,4.97,23877.0,1402.0,35.0
5,25-34,3815.73,285.03,12.81,56614.0,4229.0,190.0
6,35-44,4426.31,469.17,45.91,50323.0,5334.0,522.0
7,45-54,5030.7,781.16,127.32,51720.0,8031.0,1309.0
8,55-64,5227.01,1271.06,308.73,52214.0,12697.0,3084.0
9,65-74,4676.99,1899.29,675.16,33618.0,13652.0,4853.0
10,75+,5293.89,3068.5,1726.29,29731.0,17233.0,9695.0
11,Citywide,3807.5,760.53,236.35,317424.0,63404.0,19704.0
