,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,501.03,61.67,,2624.0,323.0,
1,5-12,701.08,22.87,,5241.0,171.0,
2,13-17,1391.49,60.07,,6023.0,260.0,
3,0-17,,,1.0,,,17.0
4,18-24,2813.37,190.16,4.97,19825.0,1340.0,35.0
5,25-34,3263.73,269.8,12.94,48424.0,4003.0,192.0
6,35-44,3861.27,447.79,46.09,43899.0,5091.0,524.0
7,45-54,4503.02,743.91,126.93,46295.0,7648.0,1305.0
8,55-64,4746.29,1218.41,306.63,47412.0,12171.0,3063.0
9,65-74,4287.31,1816.93,670.15,30817.0,13060.0,4817.0
10,75+,4964.3,2934.06,1706.34,27880.0,16478.0,9583.0
11,Citywide,3346.07,726.26,234.35,278956.0,60547.0,19537.0
