,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,517.45,61.87,,2710.0,324.0,
1,5-12,720.48,23.41,,5386.0,175.0,
2,13-17,1416.9,61.22,,6133.0,265.0,
3,0-17,,,1.0,,,17.0
4,18-24,2868.29,191.29,4.97,20212.0,1348.0,35.0
5,25-34,3308.89,271.21,12.94,49094.0,4024.0,192.0
6,35-44,3902.52,449.82,46.09,44368.0,5114.0,524.0
7,45-54,4543.39,750.52,127.13,46710.0,7716.0,1307.0
8,55-64,4782.43,1224.51,306.83,47773.0,12232.0,3065.0
9,65-74,4317.36,1825.42,670.29,31033.0,13121.0,4818.0
10,75+,4989.05,2947.42,1707.59,28019.0,16553.0,9590.0
11,Citywide,3381.96,730.18,234.49,281948.0,60874.0,19549.0
