,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,476.59,61.1,,2496.0,320.0,
1,5-12,668.71,22.87,,4999.0,171.0,
2,13-17,1349.67,59.61,,5842.0,258.0,
3,0-17,,,0.88,,,15.0
4,18-24,2734.89,187.61,4.97,19272.0,1322.0,35.0
5,25-34,3200.58,267.84,12.87,47487.0,3974.0,191.0
6,35-44,3796.97,445.86,46.09,43168.0,5069.0,524.0
7,45-54,4444.95,740.99,127.13,45698.0,7618.0,1307.0
8,55-64,4693.24,1212.3,306.33,46882.0,12110.0,3060.0
9,65-74,4245.02,1810.81,669.45,30513.0,13016.0,4812.0
10,75+,4932.6,2923.74,1702.25,27702.0,16420.0,9560.0
11,Citywide,3293.42,723.06,233.96,274566.0,60280.0,19505.0
