,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,680.14,66.26,,3562.0,347.0,
1,5-12,968.35,25.28,,7239.0,189.0,
2,13-17,1775.46,63.07,,7685.0,273.0,
3,0-17,,,0.94,,,16.0
4,18-24,3352.91,198.25,4.97,23627.0,1397.0,35.0
5,25-34,3776.24,283.08,12.87,56028.0,4200.0,191.0
6,35-44,4388.84,466.97,46.09,49897.0,5309.0,524.0
7,45-54,4998.9,777.85,127.42,51393.0,7997.0,1310.0
8,55-64,5192.27,1265.96,308.83,51867.0,12646.0,3085.0
9,65-74,4650.28,1891.92,675.44,33426.0,13599.0,4855.0
10,75+,5269.14,3055.86,1723.26,29592.0,17162.0,9678.0
11,Citywide,3776.53,757.14,236.23,314842.0,63121.0,19694.0
