,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,421.6,58.81,,2208.0,308.0,
1,5-12,568.38,22.07,,4249.0,165.0,
2,13-17,1215.91,57.99,,5263.0,251.0,
3,0-17,,,0.88,,,15.0
4,18-24,2526.14,183.49,5.11,17801.0,1293.0,36.0
5,25-34,3018.33,263.19,12.81,44783.0,3905.0,190.0
6,35-44,3630.64,440.14,46.0,41277.0,5004.0,523.0
7,45-54,4283.1,731.36,126.25,44034.0,7519.0,1298.0
8,55-64,4547.48,1198.69,305.03,45426.0,11974.0,3047.0
9,65-74,4132.19,1790.77,666.81,29702.0,12872.0,4793.0
10,75+,4843.4,2889.73,1693.88,27201.0,16229.0,9513.0
11,Citywide,3148.02,713.97,232.89,262445.0,59522.0,19416.0
