,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,448.71,59.76,,2350.0,313.0,
1,5-12,614.27,22.34,,4592.0,167.0,
2,13-17,1279.9,58.68,,5540.0,254.0,
3,0-17,,,0.88,,,15.0
4,18-24,2621.37,185.48,4.97,18472.0,1307.0,35.0
5,25-34,3098.74,265.35,12.74,45976.0,3937.0,189.0
6,35-44,3703.03,441.99,46.0,42100.0,5025.0,523.0
7,45-54,4353.72,736.03,126.64,44760.0,7567.0,1302.0
8,55-64,4609.05,1204.49,305.43,46041.0,12032.0,3051.0
9,65-74,4182.69,1800.1,667.92,30065.0,12939.0,4801.0
10,75+,4879.01,2903.26,1696.55,27401.0,16305.0,9528.0
11,Citywide,3212.28,717.88,233.24,267802.0,59848.0,19445.0
