,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,597.84,64.73,,3131.0,339.0,
1,5-12,839.4,24.48,,6275.0,183.0,
2,13-17,1601.73,61.68,,6933.0,267.0,
3,0-17,,,0.88,,,15.0
4,18-24,3129.4,195.13,4.97,22052.0,1375.0,35.0
5,25-34,3564.94,277.21,12.94,52893.0,4113.0,192.0
6,35-44,4169.65,458.79,46.09,47405.0,5216.0,524.0
7,45-54,4789.38,765.21,127.13,49239.0,7867.0,1307.0
8,55-64,4996.66,1245.34,308.33,49913.0,12440.0,3080.0
9,65-74,4493.08,1857.69,672.24,32296.0,13353.0,4832.0
10,75+,5139.15,3002.26,1714.18,28862.0,16861.0,9627.0
11,Citywide,3592.61,743.88,235.26,299509.0,62016.0,19613.0
