,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,440.5,59.38,,2307.0,311.0,
1,5-12,602.76,22.34,,4506.0,167.0,
2,13-17,1263.5,58.45,,5469.0,253.0,
3,0-17,,,0.88,,,15.0
4,18-24,2602.63,184.2,4.97,18340.0,1298.0,35.0
5,25-34,3079.67,264.95,12.74,45693.0,3931.0,189.0
6,35-44,3687.55,441.29,46.0,41924.0,5017.0,523.0
7,45-54,4337.96,734.76,126.55,44598.0,7554.0,1301.0
8,55-64,4596.43,1202.79,305.43,45915.0,12015.0,3051.0
9,65-74,4170.17,1796.9,667.37,29975.0,12916.0,4797.0
10,75+,4868.68,2899.88,1694.95,27343.0,16286.0,9519.0
11,Citywide,3197.55,716.7,233.07,266574.0,59750.0,19431.0
