,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,738.18,68.93,,3866.0,361.0,
1,5-12,1060.52,26.22,,7928.0,196.0,
2,13-17,1883.35,65.84,,8152.0,285.0,
3,0-17,,,0.94,,,16.0
4,18-24,3506.18,201.51,4.97,24707.0,1420.0,35.0
5,25-34,3931.86,288.27,12.87,58337.0,4277.0,191.0
6,35-44,4544.26,475.24,46.09,51664.0,5403.0,524.0
7,45-54,5146.55,791.66,127.52,52911.0,8139.0,1311.0
8,55-64,5335.12,1288.48,309.33,53294.0,12871.0,3090.0
9,65-74,4774.8,1922.52,677.66,34321.0,13819.0,4871.0
10,75+,5369.92,3107.85,1733.23,30158.0,17454.0,9734.0
11,Citywide,3908.75,770.4,237.16,325865.0,64227.0,19772.0
