,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,531.39,62.44,,2783.0,327.0,
1,5-12,742.28,23.41,,5549.0,175.0,
2,13-17,1444.63,61.22,,6253.0,265.0,
3,0-17,,,0.88,,,15.0
4,18-24,2916.96,191.58,4.97,20555.0,1350.0,35.0
5,25-34,3359.1,272.09,12.94,49839.0,4037.0,192.0
6,35-44,3954.06,451.93,46.09,44954.0,5138.0,524.0
7,45-54,4586.09,752.95,127.03,47149.0,7741.0,1306.0
8,55-64,4824.58,1228.52,306.93,48194.0,12272.0,3066.0
9,65-74,4348.11,1830.42,670.29,31254.0,13157.0,4818.0
10,75+,5017.18,2957.21,1710.44,28177.0,16608.0,9606.0
11,Citywide,3421.2,732.56,234.66,285219.0,61072.0,19563.0
