,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,614.07,64.73,,3216.0,339.0,
1,5-12,863.21,24.61,,6453.0,184.0,
2,13-17,1639.38,61.68,,7096.0,267.0,
3,0-17,,,0.88,,,15.0
4,18-24,3167.29,195.69,4.97,22319.0,1379.0,35.0
5,25-34,3604.91,277.95,12.94,53486.0,4124.0,192.0
6,35-44,4208.97,459.76,46.18,47852.0,5227.0,525.0
7,45-54,4827.32,767.64,127.13,49629.0,7892.0,1307.0
8,55-64,5035.1,1248.94,308.33,50297.0,12476.0,3080.0
9,65-74,4521.04,1863.67,672.93,32497.0,13396.0,4837.0
10,75+,5163.55,3010.27,1715.96,28999.0,16906.0,9637.0
11,Citywide,3626.85,745.98,235.44,302364.0,62191.0,19628.0
