,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,723.1,68.55,,3787.0,359.0,
1,5-12,1038.85,26.08,,7766.0,195.0,
2,13-17,1859.56,65.61,,8049.0,284.0,
3,0-17,,,0.94,,,16.0
4,18-24,3470.13,201.09,4.97,24453.0,1417.0,35.0
5,25-34,3897.35,287.46,12.87,57825.0,4265.0,191.0
6,35-44,4504.86,473.83,46.0,51216.0,5387.0,523.0
7,45-54,5110.46,788.45,127.52,52540.0,8106.0,1311.0
8,55-64,5301.79,1284.08,309.23,52961.0,12827.0,3089.0
9,65-74,4742.8,1915.15,676.55,34091.0,13766.0,4863.0
10,75+,5345.52,3095.56,1731.81,30021.0,17385.0,9726.0
11,Citywide,3877.2,767.6,236.95,323235.0,63993.0,19754.0
