,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,510.39,61.87,,2673.0,324.0,
1,5-12,712.45,23.01,,5326.0,172.0,
2,13-17,1401.65,60.76,,6067.0,263.0,
3,0-17,,,1.0,,,17.0
4,18-24,2845.44,190.44,4.97,20051.0,1342.0,35.0
5,25-34,3286.45,270.61,12.94,48761.0,4015.0,192.0
6,35-44,3884.49,448.76,46.09,44163.0,5102.0,524.0
7,45-54,4525.78,747.89,127.13,46529.0,7689.0,1307.0
8,55-64,4766.71,1221.21,306.73,47616.0,12199.0,3064.0
9,65-74,4304.29,1820.13,670.29,30939.0,13083.0,4818.0
10,75+,4978.19,2940.3,1706.88,27958.0,16513.0,9586.0
11,Citywide,3365.77,728.14,234.43,280598.0,60704.0,19544.0
