,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,578.56,63.77,,3030.0,334.0,
1,5-12,806.76,24.08,,6031.0,180.0,
2,13-17,1548.36,61.68,,6702.0,267.0,
3,0-17,,,0.88,,,15.0
4,18-24,3052.35,194.13,4.97,21509.0,1368.0,35.0
5,25-34,3495.79,276.13,13.01,51867.0,4097.0,193.0
6,35-44,4093.57,457.38,46.0,46540.0,5200.0,523.0
7,45-54,4719.06,760.64,127.32,48516.0,7820.0,1309.0
8,55-64,4938.3,1240.23,307.53,49330.0,12389.0,3072.0
9,65-74,4444.38,1850.46,670.84,31946.0,13301.0,4822.0
10,75+,5098.02,2990.69,1713.82,28631.0,16796.0,9625.0
11,Citywide,3533.88,740.74,235.04,294613.0,61754.0,19595.0
