,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,542.85,62.82,,2843.0,329.0,
1,5-12,754.59,23.54,,5641.0,176.0,
2,13-17,1469.12,61.22,,6359.0,265.0,
3,0-17,,,0.88,,,15.0
4,18-24,2941.8,192.0,4.97,20730.0,1353.0,35.0
5,25-34,3388.29,272.43,12.94,50272.0,4042.0,192.0
6,35-44,3983.88,452.28,46.09,45293.0,5142.0,524.0
7,45-54,4611.67,753.63,127.32,47412.0,7748.0,1309.0
8,55-64,4846.5,1229.62,307.23,48413.0,12283.0,3069.0
9,65-74,4365.22,1831.82,670.43,31377.0,13167.0,4819.0
10,75+,5031.25,2959.71,1711.15,28256.0,16622.0,9610.0
11,Citywide,3443.86,733.24,234.79,287108.0,61129.0,19574.0
