,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,426.37,55.56,,2233.0,291.0,
1,5-12,574.94,21.4,,4298.0,160.0,
2,13-17,1224.69,55.68,,5301.0,241.0,
3,0-17,,,0.88,,,15.0
4,18-24,2545.16,178.38,5.11,17935.0,1257.0,36.0
5,25-34,3032.15,257.6,12.74,44988.0,3822.0,189.0
6,35-44,3641.81,434.95,46.0,41404.0,4945.0,523.0
7,45-54,4294.77,725.81,126.45,44154.0,7462.0,1300.0
8,55-64,4556.99,1190.78,305.13,45521.0,11895.0,3048.0
9,65-74,4140.68,1775.47,666.81,29763.0,12762.0,4793.0
10,75+,4848.74,2861.77,1694.06,27231.0,16072.0,9514.0
11,Citywide,3158.64,706.61,232.93,263330.0,58909.0,19419.0
