,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,552.4,63.39,,2893.0,332.0,
1,5-12,767.3,23.54,,5736.0,176.0,
2,13-17,1490.6,61.45,,6452.0,266.0,
3,0-17,,,0.88,,,15.0
4,18-24,2970.32,192.57,4.97,20931.0,1357.0,35.0
5,25-34,3415.92,273.3,12.94,50682.0,4055.0,192.0
6,35-44,4012.64,454.13,46.09,45620.0,5163.0,524.0
7,45-54,4638.23,756.16,127.42,47685.0,7774.0,1310.0
8,55-64,4869.02,1233.22,307.63,48638.0,12319.0,3073.0
9,65-74,4383.59,1837.66,670.01,31509.0,13209.0,4816.0
10,75+,5048.52,2971.28,1712.22,28353.0,16687.0,9616.0
11,Citywide,3466.71,735.77,234.89,289013.0,61340.0,19582.0
