,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,437.26,59.38,,2290.0,311.0,
1,5-12,591.93,22.21,,4425.0,166.0,
2,13-17,1248.94,58.22,,5406.0,252.0,
3,0-17,,,0.88,,,15.0
4,18-24,2582.48,184.2,4.97,18198.0,1298.0,35.0
5,25-34,3062.68,264.47,12.74,45441.0,3924.0,189.0
6,35-44,3671.02,441.2,46.0,41736.0,5016.0,523.0
7,45-54,4322.49,733.89,126.55,44439.0,7545.0,1301.0
8,55-64,4582.02,1201.79,305.43,45771.0,12005.0,3051.0
9,65-74,4159.88,1795.09,667.23,29901.0,12903.0,4796.0
10,75+,4862.63,2896.14,1694.77,27309.0,16265.0,9518.0
11,Citywide,3183.71,715.94,233.05,265420.0,59687.0,19429.0
