,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,625.91,65.11,,3278.0,341.0,
1,5-12,882.74,24.61,,6599.0,184.0,
2,13-17,1661.79,61.92,,7193.0,268.0,
3,0-17,,,0.88,,,15.0
4,18-24,3202.35,196.4,4.97,22566.0,1384.0,35.0
5,25-34,3640.7,279.17,12.94,54017.0,4142.0,192.0
6,35-44,4248.99,461.52,46.18,48307.0,5247.0,525.0
7,45-54,4862.62,769.97,127.32,49992.0,7916.0,1309.0
8,55-64,5065.54,1251.84,308.83,50601.0,12505.0,3085.0
9,65-74,4544.97,1870.07,673.63,32669.0,13442.0,4842.0
10,75+,5185.27,3020.78,1718.27,29121.0,16965.0,9650.0
11,Citywide,3656.82,748.44,235.74,304862.0,62396.0,19653.0
