,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,469.91,60.34,,2461.0,316.0,
1,5-12,658.28,22.47,,4921.0,168.0,
2,13-17,1330.96,59.61,,5761.0,258.0,
3,0-17,,,0.88,,,15.0
4,18-24,2710.49,186.61,4.97,19100.0,1315.0,35.0
5,25-34,3177.8,267.3,12.81,47149.0,3966.0,190.0
6,35-44,3774.89,444.45,46.09,42917.0,5053.0,524.0
7,45-54,4425.01,737.78,126.84,45493.0,7585.0,1304.0
8,55-64,4674.82,1208.5,305.83,46698.0,12072.0,3055.0
9,65-74,4232.08,1806.08,668.76,30420.0,12982.0,4807.0
10,75+,4924.06,2915.9,1700.11,27654.0,16376.0,9548.0
11,Citywide,3275.59,720.81,233.65,273080.0,60093.0,19479.0
