,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,663.33,66.07,,3474.0,346.0,
1,5-12,944.81,25.15,,7063.0,188.0,
2,13-17,1746.12,63.07,,7558.0,273.0,
3,0-17,,,0.94,,,16.0
4,18-24,3317.44,197.4,4.97,23377.0,1391.0,35.0
5,25-34,3740.25,281.73,12.94,55494.0,4180.0,192.0
6,35-44,4353.22,465.03,46.18,49492.0,5287.0,525.0
7,45-54,4963.39,776.1,127.42,51028.0,7979.0,1310.0
8,55-64,5161.14,1261.65,309.33,51556.0,12603.0,3090.0
9,65-74,4621.76,1884.82,674.88,33221.0,13548.0,4851.0
10,75+,5251.87,3048.2,1722.19,29495.0,17119.0,9672.0
11,Citywide,3745.81,754.68,236.19,312281.0,62916.0,19691.0
